timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,delta,sequence_id,label
12:45.1,11.534351,9.305344,19.351145,-0.024383,0.025763,0.156635,,1,x
12:45.3,43.916031,34.366413,15.816793,-0.008119,0.020351,0.108546,0.202686,1,x
12:45.5,-62.526718,30.312977,-13.908397,0.00958,-0.009093,0.068575,0.2006,1,x
12:45.7,-98.083969,-25.908398,-83.32061,0.08235,-0.033909,0.165945,0.201824,1,x
12:45.9,-9.083969,-45.450382,-120.793892,-0.010825,-0.040322,0.221692,0.200372,1,x
12:46.1,101.061066,19.465649,-60.832062,-0.051986,-0.038969,0.179692,0.200428,1,x
12:46.3,98.687019,74.610687,60.190838,-0.043543,-0.018538,0.0876,0.200454,1,x
12:46.5,23.312977,71.587784,60.908398,0.041324,0.030797,0.034991,0.200022,1,x
12:47.7,-1.80916,-1.045802,17.610687,-0.033395,0.043299,0.101483,1.224151,2,x
12:47.9,-4.38168,41.206108,23.412214,-0.042217,0.000352,0.034964,0.200872,2,x
12:48.1,-143.045807,0.946565,-27.419847,0.056884,-0.030364,0.148111,0.2015,2,x
12:48.3,-67.206108,-66.297707,-100.389313,0.014641,-0.042054,0.211463,0.198701,2,x
12:48.5,34.0229,-21.12977,-87.015266,-0.041757,-0.034315,0.217525,0.202681,2,x
12:48.7,117.847328,16.961832,0.206107,-0.072093,-0.033313,0.143862,0.200098,2,x
12:48.9,76.297707,67.259544,34.076336,-0.012909,-0.003491,0.08097,0.200233,2,x
12:49.1,-17.328245,72.39695,23.045801,0.042109,0.037643,0.074231,0.200718,2,x
12:50.1,4.664122,-4.389313,11.282443,-0.032123,0.043516,0.098993,1.023863,3,x
12:50.3,-7.641222,32.488548,14.801527,-0.044923,0.005656,0.033395,0.199047,3,x
12:50.5,-120.824425,11.267176,7.587786,0.004817,-0.019376,0.102782,0.202104,3,x
12:50.7,-95.137405,3.549618,-99.702293,0.039321,-0.036426,0.206159,0.201652,3,x
12:50.9,18.099237,-26.236641,-118.114502,-0.026196,-0.04265,0.213953,0.198513,3,x
12:51.1,115.511452,-10.328244,-18.045801,-0.064137,-0.038753,0.157501,0.202756,3,x
12:51.3,93.618324,61.458015,64.786263,-0.023328,-0.017834,0.096422,0.197716,3,x
12:51.5,30.122137,51.793892,63.671757,0.030499,0.017509,0.081105,0.202465,3,x
12:52.4,1.145038,34.854961,30.213741,-0.078047,0.038212,0.092985,0.923676,4,x
12:52.6,-50.442749,40.083969,49.732826,-0.018781,-0.006603,0.032637,0.199783,4,x
12:52.8,-129.038162,-13.022901,-33.916031,0.040214,-0.030472,0.148219,0.199946,4,x
12:53.1,-60.305344,-38.625954,-98.259544,-0.027982,-0.04154,0.221692,0.202762,4,x
12:53.2,73.725189,-13.526717,-88.801529,-0.066167,-0.036263,0.221692,0.199651,4,x
12:53.5,134.2061,17.404581,21.015266,-0.076532,-0.030824,0.109656,0.200841,4,x
12:53.7,71.839691,49.480915,69.656487,0.002814,-0.008254,0.060646,0.199783,4,x
12:54.6,20.687023,28.412214,44.396946,-0.036371,0.035181,0.08741,0.923531,5,x
12:54.8,-95.633591,32.9771,26.229008,0.053664,-0.012827,0.082729,0.199925,5,x
12:55.0,-91.549622,-34.061069,-87.709923,0.035695,-0.026656,0.216524,0.202068,5,x
12:55.2,21.786259,-38.70229,-107.816795,-0.032907,-0.034369,0.217146,0.198831,5,x
12:55.4,105.656487,-12.885496,-41.61832,-0.066762,-0.019187,0.192114,0.200654,5,x
12:55.6,116.099236,62.068703,61.068703,-0.035911,-0.010473,0.103052,0.201911,5,x
12:55.8,1.091603,48.015266,55.251907,0.059591,0.025898,0.027739,0.200042,5,x
12:56.7,0.175573,-2.503817,19.519083,-0.060078,0.03537,0.085841,0.922072,6,x
12:56.9,-82.732826,9.328244,51.305344,0.012692,-0.013504,0.059076,0.201757,6,x
12:57.1,-86.496185,-18.801527,-80.625954,0.045275,-0.016806,0.192114,0.202187,6,x
12:57.3,3.725191,-39.854961,-114.984734,-0.029741,-0.033368,0.209,0.200815,6,x
12:57.5,95.824425,24.435114,-50.984734,-0.085679,-0.026764,0.196092,0.200952,6,x
12:57.7,114.496185,58.992367,66.450378,-0.032718,-0.016833,0.096774,0.199892,6,x
12:57.9,-2.923664,19.816793,14.458015,0.051634,0.032799,0.055234,0.200902,6,x
12:58.7,3.603053,21.076336,52.786259,-0.057994,0.030526,0.080023,0.822024,7,x
12:58.9,-134.045807,54.259541,35.763359,0.075774,-0.015074,0.053745,0.201795,7,x
12:59.1,-119.801529,-13.053435,-98.091606,0.049848,-0.010933,0.202614,0.200105,7,x
12:59.3,5.396946,-27.80916,-126.374046,-0.020811,-0.04771,0.20237,0.199804,7,x
12:59.5,118.96183,-13.206107,-29.755726,-0.082188,-0.041297,0.196308,0.201946,7,x
12:59.7,120.923668,47.122139,84.854965,-0.027793,-0.015317,0.09856,0.200699,7,x
12:59.9,4.305344,39.190838,66.71756,0.014911,0.032556,0.066681,0.19997,7,x
13:00.9,-5.427481,14.557252,33.099236,-0.059645,0.039051,0.075936,0.923133,8,x
13:01.1,-107.801529,28.068703,67.984734,0.0374,-0.002111,0.07139,0.201048,8,x
13:01.3,-115.732826,-34.206108,-79.198471,0.063433,-0.019458,0.16129,0.200986,8,x
13:01.5,20.656488,-5.290076,-141.274811,-0.028172,-0.04928,0.221692,0.199923,8,x
